"WorkItemType","FieldName","ReferenceName","Type","Required","ReadOnly","Inherited"
"Bug","Found In","Microsoft.VSTS.Build.FoundIn","string",,,
"Risk","Found In","Microsoft.VSTS.Build.FoundIn","string",,,
"Issue","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Requirement","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Test Case","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Bug","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Test Plan","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Change Request","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Risk","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Task","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Feature","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Test Suite","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Review","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Epic","Integration Build","Microsoft.VSTS.Build.IntegrationBuild","string",,,
"Review","Actual Attendee 1","Microsoft.VSTS.CMMI.ActualAttendee1","string",,,
"Review","Actual Attendee 2","Microsoft.VSTS.CMMI.ActualAttendee2","string",,,
"Review","Actual Attendee 3","Microsoft.VSTS.CMMI.ActualAttendee3","string",,,
"Review","Actual Attendee 4","Microsoft.VSTS.CMMI.ActualAttendee4","string",,,
"Review","Actual Attendee 5","Microsoft.VSTS.CMMI.ActualAttendee5","string",,,
"Review","Actual Attendee 6","Microsoft.VSTS.CMMI.ActualAttendee6","string",,,
"Review","Actual Attendee 7","Microsoft.VSTS.CMMI.ActualAttendee7","string",,,
"Review","Actual Attendee 8","Microsoft.VSTS.CMMI.ActualAttendee8","string",,,
"Issue","Analysis","Microsoft.VSTS.CMMI.Analysis","html",,,
"Task","Blocked","Microsoft.VSTS.CMMI.Blocked","string","True",,
"Risk","Blocked","Microsoft.VSTS.CMMI.Blocked","string",,,
"Change Request","Blocked","Microsoft.VSTS.CMMI.Blocked","string",,,
"Requirement","Blocked","Microsoft.VSTS.CMMI.Blocked","string",,,
"Bug","Blocked","Microsoft.VSTS.CMMI.Blocked","string",,,
"Review","Called By","Microsoft.VSTS.CMMI.CalledBy","string",,,
